category_order,category_id,category_name,category_image,subcategory_order,subcategory_id,subcategory_name,subcategory_image
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,1,tea,Tea,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819256/category-images/cwcvslpwtlk1ywf9n0ue.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,2,importedteacoffee,Imported Tea & Coffee,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819223/category-images/ghrutxndjykpnrcsflsd.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,3,hotchocolate,Hot Chocolate,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819213/category-images/paxxuiv8hvjxjeqg81zq.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,4,herbaldrinks,Herbal Drinks,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819204/category-images/zh3ddjw6txflmj0ns6vy.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,5,greenflavouredtea,Green & Flavoured Tea,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819190/category-images/oxi0jwq21hb85lefuphf.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,6,fruitjuices,Fruit Juices,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819178/category-images/lmrdhgocnfqr1zecdxgq.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,7,energydrinks,Energy Drinks,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819163/category-images/w6tjkisy5jb0nbil5lk0.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,8,coldcoffeeicetea,Cold Coffee & Ice Tea,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819153/category-images/sjctbypxdh4i56abln7g.webp
1,teacoffehealthdrink,Tea; Coffe & Health Drink,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470541/category-images/wgm8rtjllyrgjjmzriqi.png,9,coffee,Coffee,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819140/category-images/z5xcdjwmn1ypplizncec.png
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,1,syrups,Syrups,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819120/category-images/xqdvoqad1wbrxtvuygpc.webp
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,2,mouthfresheners,Mouth Fresheners,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819104/category-images/erulhpelicjxxyyt6tlu.webp
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,3,indiansweets,Indian Sweets,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819094/category-images/w91mtahnh8igg1zm0kdu.webp
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,4,icecreamfrozendessert,Ice Cream & Frozen Dessert,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819083/category-images/ig0e0lyictsiwdzckgwk.webp
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,5,energybars,Energy Bars,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819073/category-images/rwiispye9zcknnlqjm9b.png
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,6,flavouredyougurts,Flavoured Yougurts,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819062/category-images/eecgauywjm8zrklhty5c.webp
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,7,chocolates,Chocolates,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819046/category-images/ushzw34pe2rf5nbt50oi.png
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,8,candiesgum,Candies & Gum,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819032/category-images/cmk9z8lfjfxmloohxhfy.webp
2,sweettooth,Sweet Tooth,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470528/category-images/uv6ahjjwozv5gdg5hsna.png,9,cakesrolls,Cakes & Rolls,http://res.cloudinary.com/ddwitlcay/image/upload/v1751819018/category-images/olhdh4bgwaxsyjnja9iz.webp
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,1,ruskswafers,Rusks & Wafers,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818997/category-images/whgs8un6ck9kyqrlqttp.png
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,2,popcorn,Popcorn,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818985/category-images/ofhqtjahrxqgjbjl2lia.webp
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,3,papadfryums,Papad & Fryums,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818969/category-images/ko6e0ing5lt7lyay9lqu.webp
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,4,namkeensnacks,Namkeen Snacks,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818955/category-images/vacvqphei0fmuympcofl.webp
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,5,nachos,Nachos,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818943/category-images/bgjcjxplwsnjcijwyujq.webp
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,6,munchiesgiftpacks,Munchies Gift Packs,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818931/category-images/igxpiqwotyw75truw5xa.png
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,7,makhanamore,Makhana & More,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818912/category-images/j375cittoa2zzbpivtfq.png
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,8,importedsnacks,Imported Snacks,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818900/category-images/jnu8pzqyhptewrmomd6t.webp
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,9,granola,Granola,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818842/category-images/w5zuho5sug8fmfynchfj.webp
3,snacksmunchies,Snacks & Munchies,http://res.cloudinary.com/ddwitlcay/image/upload/v1751470514/category-images/dl14mp7wcr71j5ngvd06.png,10,chipscrisps,Chips & Crisps,http://res.cloudinary.com/ddwitlcay/image/upload/v1751818827/category-images/paz1xnor7e8iwzycfwrp.webp
